,topic,tweet,tweets_cleaned
370,soda,"@ARayRobinson I got a carnitas burrito in LA the other day and a medium soda at the drive through window of Lucy’s.  

$17.44! t.co/PXHf46j3vd",arayrobinson got carnitas burrito la day medium soda drive window lucy tcopxhfjvd
377,soda,@MadScientistFF Cake and soda,madscientistff cake soda
403,soda,"@oishi_soda みたい～！！！
そのプロフィールはガチっぽいですねwww",oishisoda みたい そのプロフィールはガチっぽいですねwww
412,soda,@MadScientistFF Everything with wheat plus soda,madscientistff everything wheat plus soda
434,soda,"@OriginalFunko @brianmariotti @itsKyAnn and @MookyAB should be following both of these accounts and I hope they are! Both versions are amazing, but I’m a fan of the blue shirt Freddy soda myself. Would love to have a chance to pull that chase and add my first ever Freddy to my soda collection! 🤞🏻",originalfunko brianmariotti itskyann mookyab following account hope version amazing fan blue shirt freddy soda would love chance pull chase add first ever freddy soda collection 
439,soda,"@brucewayne5687 It was pop for the 26 years I lived in Oregon, it’s been soda for the 33 I’ve lived in Hawaii. 🤙🏼",brucewayne pop year lived oregon soda lived hawaii 
445,soda,"@brucewayne5687 No, no, no! It’s SODA!",brucewayne soda
448,soda,"Mom said if enough of you show up we can drink soda and have a sleep over.

Where you at doh?

🌐👇🔁",mom said enough show drink soda sleep doh 
452,soda,@kheslopwrites Soda and ice cream,kheslopwrites soda ice cream
461,soda,"@AugustinKeaton @tryTHINKING634 @DrumpfForJail @JosephMarsilio1 @carsonkrow I refuse to have a battle of wits with someone who's unarmed.  I'm done with you, have your mom bring you another diet soda and a hot pocket in your basement bedroom.  I'm sure just like a female you'll want the last word so go ahead and give it your best shot🤣🤣",augustinkeaton trythinking drumpfforjail josephmarsilio carsonkrow refuse battle wit someone who unarmed im done mom bring another diet soda hot pocket basement bedroom im sure like female youll want last word go ahead give best shot 
467,soda,"She Sprinkles Baking Soda All Over Her Mattress. In A Matter of Minutes, This Is Unexpected t.co/CwdUxsaPlW",sprinkle baking soda mattress matter minute unexpected tcocwduxsaplw
475,soda,@tashanreed I loved the Coliseum. I just wouldn’t recommend the food and would stay far away from the halftime hotdogs and make sure there were no dead rodents in the soda machine.,tashanreed loved coliseum recommend food would stay far away halftime hotdog make sure dead rodent soda machine
481,soda,@sodamoveon aaaaa ka soda thankyouuuu! 🫶🏻,sodamoveon aaaaa ka soda thankyouuuu 
490,soda,listening to danger days is like when you drink a soda and it’s so fizzy it burns ur throat,listening danger day like drink soda fizzy burn ur throat
492,soda,@YaBoiShagNasty SODA,yaboishagnasty soda
499,soda,"I gangster of crime you'll find him in church. All vases tapped, Colonel. This is a soda bottle scene. t.co/6KfOYUQRWV",gangster crime youll find church vas tapped colonel soda bottle scene tcokfoyuqrwv
502,soda,"@want__soda 
ご応募ありがとうございます！
8/24まで使える「ウチカフェチルドカップ飲料各種20円引券」を差し上げます※「UC:ウチカフェ」ロゴが目印です。「NL:ナチュラルローソン」ロゴの商品は対象外。
クーポンの使い方:t.co/lJuLMYCOyO #ローソン t.co/9QX7qMfXul",wantsoda ご応募ありがとうございます まで使える ウチカフェチルドカップ飲料各種円引券 を差し上げます ucウチカフェ ロゴが目印です nlナチュラルローソン ロゴの商品は対象外 クーポンの使い方tcoljulmycoyo ローソン tcoqxqmfxul
513,soda,"I don’t drink much soda, but when I do, it’s ginger ale.",drink much soda ginger ale
519,soda,@Thesixler [opens door to soda vault],thesixler open door soda vault
521,soda,@sundownmotel And I’m alllll outta soda (I’m not),sundownmotel alllll outta soda
523,soda,"@sundownmotel Nah I’ll just go there in a bit, basically all I do is drive places and buy soda",sundownmotel nah go bit basically drive place buy soda
529,soda,"Obviously, Baja Blast is the exception to this. They can't exactly just come out and admit that it's estradiol soda.",obviously baja blast exception cant exactly come admit estradiol soda
534,soda,@elsoda @LicFERB @somoscorta @mauriciomacri Soy viudo soda,elsoda licferb somoscorta mauriciomacri soy viudo soda
538,soda,@tellenby Caustic soda is a faster way I believe,tellenby caustic soda faster way believe
545,soda,@BoonBroAus Bourbon and soda.,boonbroaus bourbon soda
546,soda,@SODA_UYU 너무이쁜!,sodauyu 너무이쁜
552,soda,@_codeinedreams Coulda been a soda 💚,codeinedreams coulda soda 
560,soda,"Chapman 
Ginger beer
Tequila soda",chapman ginger beer tequila soda
566,soda,"Que cosa hermosa el primer recital. La emoción, sentir que está pasando algo que te va a cambiar la vida. Mi primer show fue Soda Stereo en el Gran Rex, el domingo 16 de junio de 1991 ¿Cuál fue el tuyo?",que cosa hermosa el primer recital la emoción sentir que está pasando algo que te va cambiar la vida mi primer show fue soda stereo en el gran rex el domingo de junio de cuál fue el tuyo
573,soda,@sakalsiz61 Soda iç 🙂,sakalsiz soda iç 
575,soda,@finn_eth There are some companies making nootropic cocktails and @drinkperfy has a compelling soda product,finneth company making nootropic cocktail drinkperfy compelling soda product
594,soda,@ImagenRetro @fdbedout Será porque Gustavo Cerati fue el vocalista de Soda Estereo?,imagenretro fdbedout será porque gustavo cerati fue el vocalista de soda estereo
596,soda,It is where soda bottle shower curtain takes place. t.co/pTk4QVDw0Z,soda bottle shower curtain take place tcoptkqvdwz
605,soda,"8/31 @ Soda Bar – Jagged Baptist Club (@jaggedbaptistLA) w/ Dream Burglar, Nonexistent Night, DJ Lady Jane (@half_home) • 🎟: t.co/Sd5pTk5doh t.co/gFud0U4UiP", soda bar jagged baptist club jaggedbaptistla w dream burglar nonexistent night dj lady jane halfhome tcosdptkdoh tcogfuduuip
613,soda,"@Loyaltys_Keeper he don’t drink ANY juice. no lemonade, no soda nothing 🤣",loyaltyskeeper drink juice lemonade soda nothing 
627,soda,"@rc_with_soda
ご応募ありがとうございます❗️
残念ですが、はずれです😵

キャンペーンサイト🔽
t.co/fYw4dxVx84 t.co/MNB0DcrTOr",rcwithsoda ご応募ありがとうございます 残念ですが はずれです キャンペーンサイト tcofywdxvx tcomnbdcrtor
630,soda,@makkariswift ok 1. shuri soda u have to be shitting me and 2. secret invasion omfg,makkariswift ok shuri soda u shitting secret invasion omfg
632,soda,I love flat soda.,love flat soda
636,soda,"Another sign of the end time(s)... #Sprite now comes in a clear bottle - #recycling #recycle #2022 #soda #humor @ Norfolk, Virginia t.co/FCPYXx8JyF",another sign end time sprite come clear bottle recycling recycle soda humor norfolk virginia tcofcpyxxjyf
648,soda,"@kel_grayson Jude: Just nudge me if I snore over the melody. *jokes*
Becks: *brings out a platter of veggie kabobs and the cleaned clams and hands them to Jay before she heads over and lifts down her orange soda to Kaz* *scoots down in and finds a seat for her and Scott*
1/2",kelgrayson jude nudge snore melody joke beck brings platter veggie kabob cleaned clam hand jay head lift orange soda kaz scoots find seat scott 
651,soda,Sobreviví a este lunes a punta de Soda Stereo y alcohol… t.co/NZ87Y2KOCu,sobreviví este lunes punta de soda stereo alcohol tconzykocu
657,soda,@siny_lo @marieeeme_soda 🤣🤣 Aljanna kay tiono amou fa,sinylo marieeemesoda aljanna kay tiono amou fa
660,soda,"I don't drink pop/soda really anymore, but I went to the store and saw it's going for 7.99 a 12 pack. That's crazy.",dont drink popsoda really anymore went store saw going pack thats crazy
662,soda,"i have a new startup where i sell something called ""Gay Soda"" and it's just unsweetened stone fruit slurry. Peaches, cherries, avocado, you name it. To gay people, that represents soda",new startup sell something called gay soda unsweetened stone fruit slurry peach cherry avocado name gay people represents soda
664,soda,@marieeeme_soda @siny_lo Ya kay japalé 🤭🤭,marieeemesoda sinylo ya kay japalé 
