,topic,tweet,tweet_stemmed
246,soda,"Blood orange (Italian soda) in a #TWD themed glass is the right way to finish watching #TalesOfTWD eps. 

2 down. 2 to go. t.co/fo2pT8kuzI","['blood', 'orang', 'italian', 'soda', 'twd', 'theme', 'glass', 'right', 'way', 'finish', 'watch', 'talesoftwd', 'ep', 'go', 'tcofoptkuzi']"
252,soda,"Ahora sonando De Música Ligera por Soda Stereo 
 en Radio UNO Digital t.co/nwESNcga0v - Donde la cultura del rock se siente t.co/yj6CRw6lRO","['ahora', 'sonando', 'de', 'música', 'ligera', 'por', 'soda', 'stereo', 'en', 'radio', 'uno', 'digit', 'tconwesncgav', 'dond', 'la', 'cultura', 'del', 'rock', 'se', 'sient', 'tcoyjcrwlro']"
253,soda,@evthebeloved actually i hate soda,"['evthebelov', 'actual', 'hate', 'soda']"
254,soda,"@NathanpmYoung i would just stick to soda, booze, &amp; chips","['nathanpmyoung', 'would', 'stick', 'soda', 'booz', 'amp', 'chip']"
259,soda,"@Tilberian **Smash cut to the SkyDome grounds crew, scrubbing second base with baking soda and vinegar, after the game**","['tilberian', 'smash', 'cut', 'skydom', 'ground', 'crew', 'scrub', 'second', 'base', 'bake', 'soda', 'vinegar', 'game']"
260,soda,"@Vivirvivir4 Apa! Tuve que buscarlo 
Poco decorosa de risa fuerte 
Te gusta la soda y eructar pero no lo haces 
A veces te arrepentis de no tener un auto mas grande para cargar mas bolsas de súper","['vivirvivir', 'apa', 'tuve', 'que', 'buscarlo', 'poco', 'decorosa', 'de', 'risa', 'fuert', 'te', 'gusta', 'la', 'soda', 'eructar', 'pero', 'lo', 'hace', 'vece', 'te', 'arrepenti', 'de', 'tener', 'un', 'auto', 'ma', 'grand', 'para', 'cargar', 'ma', 'bolsa', 'de', 'súper']"
265,soda,@li__soda Ai mdssss mto mto obrigada 😭💛💛💛💛💛💛😳,"['lisoda', 'ai', 'mdssss', 'mto', 'mto', 'obrigada', '']"
269,soda,"@SAWohlfeil Too funny. Were you guys at your table for hours, just drinking coffee or soda and ordering no food because you didn’t have enough money?","['sawohlfeil', 'funni', 'guy', 'tabl', 'hour', 'drink', 'coffe', 'soda', 'order', 'food', 'enough', 'money']"
272,soda,"@CindyRi24097949 @CityCynthia @ChristyCeeCK Exactly! Even Kraft Dinner has gone up. Cripes, I remember when it was 5/$1 or 25¢ box. Even soda pop went up $1.27 case at Walmart in the past week! @fordnation wouldn't be able to handle it.","['cindyri', 'citycynthia', 'christyceeck', 'exactli', 'even', 'kraft', 'dinner', 'gone', 'cripe', 'rememb', 'box', 'even', 'soda', 'pop', 'went', 'case', 'walmart', 'past', 'week', 'fordnat', 'wouldnt', 'abl', 'handl']"
275,soda,"@SteveStuffie @ScrappyDaDog14 hiya Scrappy pal
can I get you a soda? something to drink to have with your pizza?
#FurryTails Pizza Club","['stevestuffi', 'scrappydadog', 'hiya', 'scrappi', 'pal', 'get', 'soda', 'someth', 'drink', 'pizza', 'furrytail', 'pizza', 'club']"
278,soda,Ayran limon tuz soda nın bazen Dünya nın en iyi içeceği olduğunu düşünüyorum,"['ayran', 'limon', 'tuz', 'soda', 'nın', 'bazen', 'dünya', 'nın', 'en', 'iyi', 'içeceği', 'olduğunu', 'düşünüyorum']"
279,soda,"Pengen duren dan soda. Of course minumnya ga barengan 😂. 
Pasti dimarahin bebeb 🙅‍♂️","['pengen', 'duren', 'dan', 'soda', 'cours', 'minumnya', 'ga', 'barengan', 'pasti', 'dimarahin', 'bebeb', '']"
293,soda,"#DailyKakojoRanking #カコジョ
#faceapp #SODA #自撮り

おはちひ♪

お久しぶりです。

いつも投げっぱなしですみません。

今日も元気にいきまっしょい
(*≧∀≦*)ノ☀️ t.co/tzexcv9Gse","['dailykakojorank', 'カコジョ', 'faceapp', 'soda', '自撮り', 'おはちひ', 'お久しぶりです', 'いつも投げっぱなしですみません', '今日も元気にいきまっしょい', 'ノ', 'tcotzexcvgs']"
311,soda,"“No hay nada mejor que casa...”

'Té Para Tres'

GUSTAVO CERATI - SODA STEREO #Cerati #FraseQRP #GustavoCerati #CeratiEterno t.co/JXo2EL0IvD","['', 'hay', 'nada', 'mejor', 'que', 'casa', 'té', 'para', 'tre', 'gustavo', 'cerati', 'soda', 'stereo', 'cerati', 'fraseqrp', 'gustavocerati', 'ceratieterno', 'tcojxoelivd']"
314,soda,"@MateoNoMayo I used to work over Mike Tyson.

Dude knocks me out left and right now. Don’t get me started on Soda Popinski.","['mateonomayo', 'use', 'work', 'mike', 'tyson', 'dude', 'knock', 'left', 'right', 'get', 'start', 'soda', 'popinski']"
315,soda,@Riddle1fangirl I like coke a lot one of my favorite soda’s,"['riddlefangirl', 'like', 'coke', 'lot', 'one', 'favorit', 'soda']"
316,soda,"@slav_metalurges I have frozen cubes of watermelon in place of ice in a G&amp;T… maybe try that? 
Or try with a light tonic (thinking Fever Tree light blue or 50/50 tonic/soda)?
Also watermelon likes mint, cucumber, black pepper so could some or all?","['slavmetalurg', 'frozen', 'cube', 'watermelon', 'place', 'ice', 'gampt', 'mayb', 'tri', 'tri', 'light', 'tonic', 'think', 'fever', 'tree', 'light', 'blue', 'tonicsoda', 'also', 'watermelon', 'like', 'mint', 'cucumb', 'black', 'pepper', 'could']"
319,soda,My mom really just ran off with my soda…..😭😭like really stole it,"['mom', 'realli', 'ran', 'soda', 'like', 'realli', 'stole']"
321,soda,"Si la fuente de soda Acuarela hubiese tenido un logo de fospuca en la entrada y estuviese ubicada en Las Mercedes, el alcalde de Baruta (Darwin González) no hubiese cerrado el local.","['si', 'la', 'fuent', 'de', 'soda', 'acuarela', 'hubies', 'tenido', 'un', 'logo', 'de', 'fospuca', 'en', 'la', 'entrada', 'estuvies', 'ubicada', 'en', 'la', 'merced', 'el', 'alcald', 'de', 'baruta', 'darwin', 'gonzález', 'hubies', 'cerrado', 'el', 'local']"
326,soda,I will grab by flask of (water) and defend @UKFootball against all of its haters. Where’s my bottle of (soda) ?,"['grab', 'flask', 'water', 'defend', 'ukfootbal', 'hater', 'bottl', 'soda', '']"
330,soda,They’re making soda bottles too sexy these days. Too many curves.,"['make', 'soda', 'bottl', 'sexi', 'day', 'mani', 'curv']"
331,soda,So 2oz of gin and .5oz of simple syrup and topped with club soda. A beautiful colour but it didn’t blow my knickers out of the water. Perhaps more needs to be more with actual watermelon purée added? I may still be in the middle of the thought process. @FionaMattatall t.co/JLeA2S71om,"['oz', 'gin', 'oz', 'simpl', 'syrup', 'top', 'club', 'soda', 'beauti', 'colour', 'blow', 'knicker', 'water', 'perhap', 'need', 'actual', 'watermelon', 'puré', 'ad', 'may', 'still', 'middl', 'thought', 'process', 'fionamattatal', 'tcojleasom']"
340,soda,"@KellyRippin Can we, just for a second, talk about how delicious A&amp;W Root Beer Zero Sugar is? Only thing that could replace it is if Barqs's finally makes a Zero Sugar Red Cream Soda.","['kellyrippin', 'second', 'talk', 'delici', 'aampw', 'root', 'beer', 'zero', 'sugar', 'thing', 'could', 'replac', 'barqss', 'final', 'make', 'zero', 'sugar', 'red', 'cream', 'soda']"
342,soda,"@trpg_soda アララ！！でもまあこっちも全く通らないってほどじゃないので…多分大丈夫かな…？
精神分析はありがたいなあ！こっちもしっかり推奨積んどきますよ〜👍👍👍
お！やった〜牡蠣定食作ってもらうか…🦪😋","['trpgsoda', 'アララ', 'でもまあこっちも全く通らないってほどじゃないので', '多分大丈夫かな', '精神分析はありがたいなあ', 'こっちもしっかり推奨積んどきますよ', 'お', 'やった', '牡蠣定食作ってもらうか', '']"
344,soda,Yoga pants can make Soda Bread look good,"['yoga', 'pant', 'make', 'soda', 'bread', 'look', 'good']"
369,soda,"@anth_alvarado Said a bunch already, but club soda + lime with a splash of bitters (there’s some alcohol in most bitters but it’s just a few drops of bitters so it’s a minuscule amount)","['anthalvarado', 'said', 'bunch', 'alreadi', 'club', 'soda', 'lime', 'splash', 'bitter', 'alcohol', 'bitter', 'drop', 'bitter', 'minuscul', 'amount']"
370,soda,"@ARayRobinson I got a carnitas burrito in LA the other day and a medium soda at the drive through window of Lucy’s.  

$17.44! t.co/PXHf46j3vd","['arayrobinson', 'got', 'carnita', 'burrito', 'la', 'day', 'medium', 'soda', 'drive', 'window', 'luci', 'tcopxhfjvd']"
377,soda,@MadScientistFF Cake and soda,"['madscientistff', 'cake', 'soda']"
403,soda,"@oishi_soda みたい～！！！
そのプロフィールはガチっぽいですねwww","['oishisoda', 'みたい', 'そのプロフィールはガチっぽいですねwww']"
412,soda,@MadScientistFF Everything with wheat plus soda,"['madscientistff', 'everyth', 'wheat', 'plu', 'soda']"
434,soda,"@OriginalFunko @brianmariotti @itsKyAnn and @MookyAB should be following both of these accounts and I hope they are! Both versions are amazing, but I’m a fan of the blue shirt Freddy soda myself. Would love to have a chance to pull that chase and add my first ever Freddy to my soda collection! 🤞🏻","['originalfunko', 'brianmariotti', 'itskyann', 'mookyab', 'follow', 'account', 'hope', 'version', 'amaz', 'fan', 'blue', 'shirt', 'freddi', 'soda', 'would', 'love', 'chanc', 'pull', 'chase', 'add', 'first', 'ever', 'freddi', 'soda', 'collect', '']"
439,soda,"@brucewayne5687 It was pop for the 26 years I lived in Oregon, it’s been soda for the 33 I’ve lived in Hawaii. 🤙🏼","['brucewayn', 'pop', 'year', 'live', 'oregon', 'soda', 'live', 'hawaii', '']"
445,soda,"@brucewayne5687 No, no, no! It’s SODA!","['brucewayn', 'soda']"
448,soda,"Mom said if enough of you show up we can drink soda and have a sleep over.

Where you at doh?

🌐👇🔁","['mom', 'said', 'enough', 'show', 'drink', 'soda', 'sleep', 'doh', '']"
452,soda,@kheslopwrites Soda and ice cream,"['kheslopwrit', 'soda', 'ice', 'cream']"
461,soda,"@AugustinKeaton @tryTHINKING634 @DrumpfForJail @JosephMarsilio1 @carsonkrow I refuse to have a battle of wits with someone who's unarmed.  I'm done with you, have your mom bring you another diet soda and a hot pocket in your basement bedroom.  I'm sure just like a female you'll want the last word so go ahead and give it your best shot🤣🤣","['augustinkeaton', 'trythink', 'drumpfforjail', 'josephmarsilio', 'carsonkrow', 'refus', 'battl', 'wit', 'someon', 'who', 'unarm', 'im', 'done', 'mom', 'bring', 'anoth', 'diet', 'soda', 'hot', 'pocket', 'basement', 'bedroom', 'im', 'sure', 'like', 'femal', 'youll', 'want', 'last', 'word', 'go', 'ahead', 'give', 'best', 'shot', '']"
467,soda,"She Sprinkles Baking Soda All Over Her Mattress. In A Matter of Minutes, This Is Unexpected t.co/CwdUxsaPlW","['sprinkl', 'bake', 'soda', 'mattress', 'matter', 'minut', 'unexpect', 'tcocwduxsaplw']"
475,soda,@tashanreed I loved the Coliseum. I just wouldn’t recommend the food and would stay far away from the halftime hotdogs and make sure there were no dead rodents in the soda machine.,"['tashanre', 'love', 'coliseum', 'recommend', 'food', 'would', 'stay', 'far', 'away', 'halftim', 'hotdog', 'make', 'sure', 'dead', 'rodent', 'soda', 'machin']"
481,soda,@sodamoveon aaaaa ka soda thankyouuuu! 🫶🏻,"['sodamoveon', 'aaaaa', 'ka', 'soda', 'thankyouuuu', '']"
490,soda,listening to danger days is like when you drink a soda and it’s so fizzy it burns ur throat,"['listen', 'danger', 'day', 'like', 'drink', 'soda', 'fizzi', 'burn', 'ur', 'throat']"
492,soda,@YaBoiShagNasty SODA,"['yaboishagnasti', 'soda']"
499,soda,"I gangster of crime you'll find him in church. All vases tapped, Colonel. This is a soda bottle scene. t.co/6KfOYUQRWV","['gangster', 'crime', 'youll', 'find', 'church', 'vase', 'tap', 'colonel', 'soda', 'bottl', 'scene', 'tcokfoyuqrwv']"
502,soda,"@want__soda 
ご応募ありがとうございます！
8/24まで使える「ウチカフェチルドカップ飲料各種20円引券」を差し上げます※「UC:ウチカフェ」ロゴが目印です。「NL:ナチュラルローソン」ロゴの商品は対象外。
クーポンの使い方:t.co/lJuLMYCOyO #ローソン t.co/9QX7qMfXul","['wantsoda', 'ご応募ありがとうございます', 'まで使える', 'ウチカフェチルドカップ飲料各種円引券', 'を差し上げます', 'ucウチカフェ', 'ロゴが目印です', 'nlナチュラルローソン', 'ロゴの商品は対象外', 'クーポンの使い方tcoljulmycoyo', 'ローソン', 'tcoqxqmfxul']"
