,topic,tweet,tweet_tokenized
293,soda,"#DailyKakojoRanking #カコジョ
#faceapp #SODA #自撮り

おはちひ♪

お久しぶりです。

いつも投げっぱなしですみません。

今日も元気にいきまっしょい
(*≧∀≦*)ノ☀️ t.co/tzexcv9Gse","['dailykakojoranking', 'カコジョ', 'faceapp', 'soda', '自撮り', 'おはちひ', 'お久しぶりです', 'いつも投げっぱなしですみません', '今日も元気にいきまっしょい', 'ノ', 'tcotzexcvgse']"
311,soda,"“No hay nada mejor que casa...”

'Té Para Tres'

GUSTAVO CERATI - SODA STEREO #Cerati #FraseQRP #GustavoCerati #CeratiEterno t.co/JXo2EL0IvD","['', 'no', 'hay', 'nada', 'mejor', 'que', 'casa', 'té', 'para', 'tres', 'gustavo', 'cerati', 'soda', 'stereo', 'cerati', 'fraseqrp', 'gustavocerati', 'ceratieterno', 'tcojxoelivd']"
314,soda,"@MateoNoMayo I used to work over Mike Tyson.

Dude knocks me out left and right now. Don’t get me started on Soda Popinski.","['mateonomayo', 'i', 'used', 'to', 'work', 'over', 'mike', 'tyson', 'dude', 'knocks', 'me', 'out', 'left', 'and', 'right', 'now', 'don', 't', 'get', 'me', 'started', 'on', 'soda', 'popinski']"
315,soda,@Riddle1fangirl I like coke a lot one of my favorite soda’s,"['riddlefangirl', 'i', 'like', 'coke', 'a', 'lot', 'one', 'of', 'my', 'favorite', 'soda', 's']"
316,soda,"@slav_metalurges I have frozen cubes of watermelon in place of ice in a G&amp;T… maybe try that? 
Or try with a light tonic (thinking Fever Tree light blue or 50/50 tonic/soda)?
Also watermelon likes mint, cucumber, black pepper so could some or all?","['slavmetalurges', 'i', 'have', 'frozen', 'cubes', 'of', 'watermelon', 'in', 'place', 'of', 'ice', 'in', 'a', 'gampt', 'maybe', 'try', 'that', 'or', 'try', 'with', 'a', 'light', 'tonic', 'thinking', 'fever', 'tree', 'light', 'blue', 'or', 'tonicsoda', 'also', 'watermelon', 'likes', 'mint', 'cucumber', 'black', 'pepper', 'so', 'could', 'some', 'or', 'all']"
319,soda,My mom really just ran off with my soda…..😭😭like really stole it,"['my', 'mom', 'really', 'just', 'ran', 'off', 'with', 'my', 'soda', 'like', 'really', 'stole', 'it']"
321,soda,"Si la fuente de soda Acuarela hubiese tenido un logo de fospuca en la entrada y estuviese ubicada en Las Mercedes, el alcalde de Baruta (Darwin González) no hubiese cerrado el local.","['si', 'la', 'fuente', 'de', 'soda', 'acuarela', 'hubiese', 'tenido', 'un', 'logo', 'de', 'fospuca', 'en', 'la', 'entrada', 'y', 'estuviese', 'ubicada', 'en', 'las', 'mercedes', 'el', 'alcalde', 'de', 'baruta', 'darwin', 'gonzález', 'no', 'hubiese', 'cerrado', 'el', 'local']"
326,soda,I will grab by flask of (water) and defend @UKFootball against all of its haters. Where’s my bottle of (soda) ?,"['i', 'will', 'grab', 'by', 'flask', 'of', 'water', 'and', 'defend', 'ukfootball', 'against', 'all', 'of', 'its', 'haters', 'where', 's', 'my', 'bottle', 'of', 'soda', '']"
330,soda,They’re making soda bottles too sexy these days. Too many curves.,"['they', 're', 'making', 'soda', 'bottles', 'too', 'sexy', 'these', 'days', 'too', 'many', 'curves']"
331,soda,So 2oz of gin and .5oz of simple syrup and topped with club soda. A beautiful colour but it didn’t blow my knickers out of the water. Perhaps more needs to be more with actual watermelon purée added? I may still be in the middle of the thought process. @FionaMattatall t.co/JLeA2S71om,"['so', 'oz', 'of', 'gin', 'and', 'oz', 'of', 'simple', 'syrup', 'and', 'topped', 'with', 'club', 'soda', 'a', 'beautiful', 'colour', 'but', 'it', 'didn', 't', 'blow', 'my', 'knickers', 'out', 'of', 'the', 'water', 'perhaps', 'more', 'needs', 'to', 'be', 'more', 'with', 'actual', 'watermelon', 'purée', 'added', 'i', 'may', 'still', 'be', 'in', 'the', 'middle', 'of', 'the', 'thought', 'process', 'fionamattatall', 'tcojleasom']"
340,soda,"@KellyRippin Can we, just for a second, talk about how delicious A&amp;W Root Beer Zero Sugar is? Only thing that could replace it is if Barqs's finally makes a Zero Sugar Red Cream Soda.","['kellyrippin', 'can', 'we', 'just', 'for', 'a', 'second', 'talk', 'about', 'how', 'delicious', 'aampw', 'root', 'beer', 'zero', 'sugar', 'is', 'only', 'thing', 'that', 'could', 'replace', 'it', 'is', 'if', 'barqss', 'finally', 'makes', 'a', 'zero', 'sugar', 'red', 'cream', 'soda']"
342,soda,"@trpg_soda アララ！！でもまあこっちも全く通らないってほどじゃないので…多分大丈夫かな…？
精神分析はありがたいなあ！こっちもしっかり推奨積んどきますよ〜👍👍👍
お！やった〜牡蠣定食作ってもらうか…🦪😋","['trpgsoda', 'アララ', 'でもまあこっちも全く通らないってほどじゃないので', '多分大丈夫かな', '精神分析はありがたいなあ', 'こっちもしっかり推奨積んどきますよ', 'お', 'やった', '牡蠣定食作ってもらうか', '']"
344,soda,Yoga pants can make Soda Bread look good,"['yoga', 'pants', 'can', 'make', 'soda', 'bread', 'look', 'good']"
369,soda,"@anth_alvarado Said a bunch already, but club soda + lime with a splash of bitters (there’s some alcohol in most bitters but it’s just a few drops of bitters so it’s a minuscule amount)","['anthalvarado', 'said', 'a', 'bunch', 'already', 'but', 'club', 'soda', 'lime', 'with', 'a', 'splash', 'of', 'bitters', 'there', 's', 'some', 'alcohol', 'in', 'most', 'bitters', 'but', 'it', 's', 'just', 'a', 'few', 'drops', 'of', 'bitters', 'so', 'it', 's', 'a', 'minuscule', 'amount']"
370,soda,"@ARayRobinson I got a carnitas burrito in LA the other day and a medium soda at the drive through window of Lucy’s.  

$17.44! t.co/PXHf46j3vd","['arayrobinson', 'i', 'got', 'a', 'carnitas', 'burrito', 'in', 'la', 'the', 'other', 'day', 'and', 'a', 'medium', 'soda', 'at', 'the', 'drive', 'through', 'window', 'of', 'lucy', 's', 'tcopxhfjvd']"
377,soda,@MadScientistFF Cake and soda,"['madscientistff', 'cake', 'and', 'soda']"
403,soda,"@oishi_soda みたい～！！！
そのプロフィールはガチっぽいですねwww","['oishisoda', 'みたい', 'そのプロフィールはガチっぽいですねwww']"
412,soda,@MadScientistFF Everything with wheat plus soda,"['madscientistff', 'everything', 'with', 'wheat', 'plus', 'soda']"
434,soda,"@OriginalFunko @brianmariotti @itsKyAnn and @MookyAB should be following both of these accounts and I hope they are! Both versions are amazing, but I’m a fan of the blue shirt Freddy soda myself. Would love to have a chance to pull that chase and add my first ever Freddy to my soda collection! 🤞🏻","['originalfunko', 'brianmariotti', 'itskyann', 'and', 'mookyab', 'should', 'be', 'following', 'both', 'of', 'these', 'accounts', 'and', 'i', 'hope', 'they', 'are', 'both', 'versions', 'are', 'amazing', 'but', 'i', 'm', 'a', 'fan', 'of', 'the', 'blue', 'shirt', 'freddy', 'soda', 'myself', 'would', 'love', 'to', 'have', 'a', 'chance', 'to', 'pull', 'that', 'chase', 'and', 'add', 'my', 'first', 'ever', 'freddy', 'to', 'my', 'soda', 'collection', '']"
439,soda,"@brucewayne5687 It was pop for the 26 years I lived in Oregon, it’s been soda for the 33 I’ve lived in Hawaii. 🤙🏼","['brucewayne', 'it', 'was', 'pop', 'for', 'the', 'years', 'i', 'lived', 'in', 'oregon', 'it', 's', 'been', 'soda', 'for', 'the', 'i', 've', 'lived', 'in', 'hawaii', '']"
445,soda,"@brucewayne5687 No, no, no! It’s SODA!","['brucewayne', 'no', 'no', 'no', 'it', 's', 'soda']"
448,soda,"Mom said if enough of you show up we can drink soda and have a sleep over.

Where you at doh?

🌐👇🔁","['mom', 'said', 'if', 'enough', 'of', 'you', 'show', 'up', 'we', 'can', 'drink', 'soda', 'and', 'have', 'a', 'sleep', 'over', 'where', 'you', 'at', 'doh', '']"
452,soda,@kheslopwrites Soda and ice cream,"['kheslopwrites', 'soda', 'and', 'ice', 'cream']"
